,ADDRESS,COMPANY NAME,RC NUMBER,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1
0,15 FED. RD OWERRI,.MEGA METUSCHI MULTI NIGERIA LTD,1256733,0.0,0.0,0.0,0.0,0.0
1,8 WOSHI ST AKWAKA RUMUODUMAYA,.AMSOCH MULTI SERVICES LTD,1259662,1.0,1.0,1.0,1.0,1.0
2,"103, UPPER SOKPONBA , B/CITY,EDO",.L. A. O. F. P. AGENCY,512101,2.0,2.0,2.0,2.0,2.0
3,"5 SHYLLON STR , P/GROVE,LAGOS",.JAMES AYODELE & CO,516913,3.0,3.0,3.0,3.0,3.0
4,"36, NEW MARKET RD , ONITSHA,ANAMBRA",.L. A. N. CATERING SER,513319,4.0,4.0,4.0,4.0,4.0
5,"16, ADELEYE STR,SARI-ELEMU-IGANMU , S/LERE,LAGOS",.A. ANSO & SONS ENTS,374904,5.0,5.0,5.0,5.0,5.0
6,"10, ELIASAU STR,MAFOLUKU-OSHODI , ,LAGOS",.H. A. GBENRO & SONS,466389,6.0,6.0,6.0,6.0,6.0
7,"AREA E, BLK 100, RM34,,NYANYA , ABUJA,FCT",.O.G. THECK SPORTIVE,961611,7.0,7.0,7.0,7.0,7.0
8,"77, YORUBA RD.,SAPELE , ,DELTA",.S. A. ALUKO (NIG) ENTS.,910607,8.0,8.0,8.0,8.0,8.0
9,"21, SHANUSI STR,SHOMOLU , ,LAGOS",.I. JOAK TECH COMPANY,402301,9.0,9.0,9.0,9.0,9.0
10,"33, OYADIRAN STR,OYADIRAN ESTATE , YABA,LAGOS",.O.O.OSOSANYA & COMPANY,582566,10.0,10.0,10.0,10.0,10.0
11,"141-142,OYADIRAN EST,SABO YABA , ,LAGOS",.A. OLATUNJI NIG ENTERPRISES,669129,11.0,11.0,11.0,11.0,11.0
12,"49, IGUN STR , B/CITY,EDO",.C. NORUWA ENTS,333473,12.0,12.0,12.0,12.0,12.0
13,"36 AGEGE MOTOR RD,MOSALASI , S/LERE,LAGOS",. NZEKU ENTERPRISES,653203,13.0,13.0,13.0,13.0,13.0
14,"55 VENN RD., SOUTH,ONITSHA, , ,ANAMBRA",. O. EKEZIE ELECT. (NIG) CO.,329180,14.0,14.0,14.0,14.0,14.0
15,"13, ODUSANYA ST.,OLODI APAPA , LAGOS,LAGOS",. O. ASUOHA & SONS,304207,15.0,15.0,15.0,15.0,15.0
16,"6, SALAWU ST.,OSHODI , IKEJA,LAGOS",. F. IGBALAJOBI & SONS,299791,16.0,16.0,16.0,16.0,16.0
17,"13, OREDEIN LANE,OSHODI , ,LAGOS",.B. O. SHONOLA & COMPANY,443566,17.0,17.0,17.0,17.0,17.0
18,"30, BROAD STR , ,LAGOS",.A. ADEBIOPON NIG ENTERPRISES,443198,18.0,18.0,18.0,18.0,18.0
19,"SW7/333, IMALEFALAFIA STR,OKE-ADO , IBADAN,OYO",.O. KAB NIG COY,443751,19.0,19.0,19.0,19.0,19.0
20,"13, ALH OTITKORO STR,,IKOTUEGBE , ,LAGOS",.A.SAID NIG ENTERPRISES,771602,20.0,20.0,20.0,20.0,20.0
21,"60 ODUDUWA ST SURU-LERE , LAGOS,LAGOS",.K.K KAZE RESTURANT,647923,21.0,21.0,21.0,21.0,21.0
22,"PLOT 5, ADEYOMO ALAKIYA STR,,V/ISLAND , ,LAGOS",.N.D. IBIYEMI & COMPANY,714705,22.0,22.0,22.0,22.0,22.0
23,"1,ASHOGBON LANE,IDUMOTA , ,LAGOS",".O,M. ZEB, ENTERPRISES",771641,23.0,23.0,23.0,23.0,23.0
24,"19, ALABI STR,PEDRO , SHOMOLU,LAGOS",.M. OKESOLA GEN AGENCY,517448,24.0,24.0,24.0,24.0,24.0
25,"NO. 28, BURAIMAH STREET,OLODI APAPA , LAGOS,LAGOS",. O . OVENSERI ( NIG. ) ENTERPRISES,791477,25.0,25.0,25.0,25.0,25.0
26,"4, KUGBA RD, , ABEOKUTA,OGUN",.O.A. ADEKUNLE ENTERPRISES,735872,26.0,26.0,26.0,26.0,26.0
27,"OKUMAFGBA AVE,,BY SOMA AMEH HOSP , WARRI,DELTA",.S. ESIRE & COMPANY,730417,27.0,27.0,27.0,27.0,27.0
28,"SW9/868C, VICTORY CRES,,FATIMO RD , IBADAN,OYO",.O..B.M. FALCON NIG ENTERPRISES,498972,28.0,28.0,28.0,28.0,28.0
29,"5, IKOLABA STR , OSOGBO,OYO",.L ADISA SHOBALAJE ENTS,454311,29.0,29.0,29.0,29.0,29.0
30,"15, RAMOTU STR,MAKOKO -YABA , LAGOS,LAGOS",.F. ANIMASHAUN ELECTRICAL WK,453232,30.0,30.0,30.0,30.0,30.0
31,"11/13 ADARANIJO ST,PEDRO , PALMGROVE,LAGOS",.MIDDY -MO ENTS.,405408,31.0,31.0,31.0,31.0,31.0
32,"151, LEDB SHOP AKANNI STR , ,LAGOS",.A. OLAITAN & SONS,427255,32.0,32.0,32.0,32.0,32.0
33,"33, LAGOS STR,E/M , LAGOS,LAGOS",.S. SOFENWA ENTS,430035,33.0,33.0,33.0,33.0,33.0
34,"20 RAMLAT TIMSQON ST OFF ADEBOLA OJOMU ST AGUDA S , SUR/L,LAGOSA",.M EVANS ELEC. CONTRACTOR & STORES,388669,34.0,34.0,34.0,34.0,34.0
35,"ILE EJENWA AIYEGUNLE RD ILA ORANGUN OYO , ,OYO",.O. AYOOLA NIG ENT,457019,35.0,35.0,35.0,35.0,35.0
36,"CS/5 OKE-OJA STR,IKARE , AKURE,ONDO",. A. A MOJISOLA LURKY BAKERY,575666,36.0,36.0,36.0,36.0,36.0
37,"6B, RAFU BARUNA STR , LAGOS,LAGOS",. A BOLA NIG. TRADING,285232,37.0,37.0,37.0,37.0,37.0
38,"TIME INSURANCE BUILDINGS, I. AWOYOKUN ST,,IKORODU RD, , ,LAGOS",.GRE - SCOPIOWAY (NIG) ENTS.,321304,38.0,38.0,38.0,38.0,38.0
39,"40, ANIFOWSE STR,,SHOMOLU , ,LAGOS",.O. MIKOG NIG ENTERPRISES,478726,39.0,39.0,39.0,39.0,39.0
